name,style,abv,ibu,brewer_name,tipo
Pain,American-Style Imperial Stout,11.2,78.0,Greenbush Brewing Co,Stout
Palo Santo Marron,American-Style Brown Ale,12.0,50.0,Dogfish Head Craft Brewery,Ale
Papier,Old Ale,14.5,40.0,The Bruery,Ale
Parabajava,American-Style Imperial Stout,14.0,53.0,Firestone Walker Brewing Company,Stout
Parabola,American-Style Imperial Stout,13.0,60.0,Firestone Walker Brewing Company,Stout
Paradise,American-Style Imperial Stout,13.0,60.0,Prairie Artisan Ales,Stout
Paradox Compass Box,American-Style Imperial Stout,15.0,60.0,BrewDog,Stout
Paradox Heaven Hill,American-Style Imperial Stout,15.0,100.0,BrewDog,Stout
Passport to Russia,American-Style Imperial Stout,12.0,60.0,Mark Twain Brewing Company,Stout
Patience,American-Style Barley Wine Ale,13.2,88.0,Fulton Brewing Company,Ale
Paw Paw,Other Fruit Melomel,13.0,17.0,Brothers Drake Meadery,Fruit
Pax Bräu Braggot,Braggot,13.5,25.0,Pax Bräu,Kolsch
PB&J,Semi-Sweet Mead,13.0,1.0,Brothers Drake Meadery,Mead
Pe-Kan,American-Style Imperial Stout,11.5,60.0,Prairie Artisan Ales,Stout
Peach Grand Cru,Fruit Beer,12.0,17.0,Great Divide Brewing Company,Fruit
Peach Rush,Fruit Cider,13.0,1.0,Brothers Drake Meadery,Cider
Peanut Butter Porter,Brown Porter,12.0,34.0,Beer Engineers,Porter
Peated Imperial Stout,British-Style Imperial Stout,11.2,60.0,Brouwerij Kees,Stout
Pedal To the Metal,American-Style Barley Wine Ale,13.0,40.0,Petzold Brewpub,Ale
Pedro Sousa Imperial Stout,British-Style Imperial Stout,11.6,60.0,Post Scriptum Brewery,Stout
Perseus Triple IPA,Imperial or Double India Pale Ale,13.4,40.0,Granite Falls Brewing Company,India Pale Ale
Petrus Nitro Quad,Belgian-Style Quadrupel,11.5,25.0,Brouwerij De Brabandere,Trappist
Philanthropist,American-Style Barley Wine Ale,12.5,40.0,Grand Rapids Brewing Company,Ale
Pierre Ferrand Billionaire,British-Style Barley Wine Ale,12.0,40.0,Clown Shoes Beer,Ale
Pilgrim's Dole,American-Style Wheat Wine Ale,12.0,30.0,New Holland Brewing Company,Ale
Pillow Talk,Dry Mead,13.0,1.0,Brothers Drake Meadery,Mead
Pinot Grigio,Other Fruit Melomel,13.2,17.0,Montevina Winery,Fruit
Pinot Suave,Belgian-Style Dark Strong Ale,11.8,15.0,Deschutes Brewery,Ale
Pirate Bomb,American-Style Imperial Stout,14.0,65.0,Prairie Artisan Ales,Stout
Pirate Stout,Wood- and Barrel-Aged Strong Beer,11.8,49.0,Bear Republic Brewing Company,Ale
Plead the 5th Imperial Stout,American-Style Imperial Stout,12.0,60.0,Dark Horse Brewing Company,Stout
Pleasure Island,Imperial or Double India Pale Ale,11.4,110.0,Ship Bottom Brewery,India Pale Ale
Plum Mead,Sweet Mead,16.0,1.0,Phantom Ales,Mead
Pocket Aces Double IPA,Imperial or Double India Pale Ale,12.0,96.0,Wingman Brewers,India Pale Ale
Polycephaly One,American-Style Strong Pale Ale,12.0,40.0,Jackie O's Pub and Brewery,Ale
Pomegranate Pyment,Pyment (Grape Melomel),12.0,17.0,BOS Meadery,Fruit
Pomme De Mort,Belgian-Style Blonde Ale,14.0,40.0,Unruly Brewery,Lager
Pommeau,French Cider,17.0,1.0,Domaine Dupont,Cider
Ponche,British-Style Barley Wine Ale,12.0,40.0,5 Rabbit Cerveceria Inc,Ale
